year,sex,ager12,ucr39,count
2006,F,1,3,5
2006,F,1,10,2
2006,F,1,14,14
2006,F,1,15,21
2006,F,1,16,2
2006,F,1,21,7
2006,F,1,22,153
2006,F,1,24,59
2006,F,1,25,1
2006,F,1,26,6
2006,F,1,27,101
2006,F,1,28,10
2006,F,1,29,1
2006,F,1,30,3
2006,F,1,31,61
2006,F,1,33,6303
2006,F,1,34,2730
2006,F,1,35,965
2006,F,1,36,486
2006,F,1,37,976
2006,F,1,38,70
2006,F,1,39,420
2006,F,1,41,137
2006,F,1,42,36
2006,F,2,1,3
2006,F,2,7,1
2006,F,2,9,1
2006,F,2,10,1
2006,F,2,12,7
2006,F,2,13,1
2006,F,2,14,61
2006,F,2,15,100
2006,F,2,16,4
2006,F,2,21,2
2006,F,2,22,71
2006,F,2,23,1
2006,F,2,24,28
2006,F,2,25,1
2006,F,2,26,1
2006,F,2,27,62
2006,F,2,28,14
2006,F,2,31,5
2006,F,2,33,28
2006,F,2,34,275
2006,F,2,36,106
2006,F,2,37,453
2006,F,2,38,273
2006,F,2,39,425
2006,F,2,41,158
2006,F,2,42,23
2006,F,3,1,1
2006,F,3,3,7
2006,F,3,7,1
2006,F,3,8,1
2006,F,3,10,4
2006,F,3,12,12
2006,F,3,13,8
2006,F,3,14,113
2006,F,3,15,265
2006,F,3,16,15
2006,F,3,20,1
2006,F,3,21,6
2006,F,3,22,107
2006,F,3,23,1
2006,F,3,24,39
2006,F,3,26,3
2006,F,3,27,34
2006,F,3,28,37
2006,F,3,29,1
2006,F,3,31,8
2006,F,3,32,2
2006,F,3,33,10
2006,F,3,34,163
2006,F,3,36,51
2006,F,3,37,538
2006,F,3,38,581
2006,F,3,39,311
2006,F,3,40,66
2006,F,3,41,144
2006,F,3,42,16
2006,F,4,1,2
2006,F,4,2,1
2006,F,4,3,85
2006,F,4,5,8
2006,F,4,6,23
2006,F,4,7,2
2006,F,4,8,17
2006,F,4,9,12
2006,F,4,10,33
2006,F,4,12,9
2006,F,4,13,37
2006,F,4,14,169
2006,F,4,15,331
2006,F,4,16,70
2006,F,4,20,13
2006,F,4,21,32
2006,F,4,22,321
2006,F,4,23,10
2006,F,4,24,95
2006,F,4,26,24
2006,F,4,27,83
2006,F,4,28,58
2006,F,4,29,3
2006,F,4,30,12
2006,F,4,31,43
2006,F,4,32,181
2006,F,4,33,3
2006,F,4,34,181
2006,F,4,36,228
2006,F,4,37,1189
2006,F,4,38,3055
2006,F,4,39,1007
2006,F,4,40,661
2006,F,4,41,731
2006,F,4,42,155
2006,F,5,1,7
2006,F,5,3,454
2006,F,5,5,66
2006,F,5,6,158
2006,F,5,7,28
2006,F,5,8,71
2006,F,5,9,368
2006,F,5,10,290
2006,F,5,12,30
2006,F,5,13,85
2006,F,5,14,187
2006,F,5,15,615
2006,F,5,16,298
2006,F,5,17,1
2006,F,5,20,84
2006,F,5,21,226
2006,F,5,22,702
2006,F,5,23,44
2006,F,5,24,239
2006,F,5,25,2
2006,F,5,26,43
2006,F,5,27,160
2006,F,5,28,118
2006,F,5,29,8
2006,F,5,30,101
2006,F,5,31,119
2006,F,5,32,326
2006,F,5,33,1
2006,F,5,34,174
2006,F,5,36,306
2006,F,5,37,2038
2006,F,5,38,1732
2006,F,5,39,1830
2006,F,5,40,934
2006,F,5,41,744
2006,F,5,42,251
2006,F,6,1,5
2006,F,6,2,2
2006,F,6,3,1187
2006,F,6,5,232
2006,F,6,6,635
2006,F,6,7,198
2006,F,6,8,990
2006,F,6,9,2354
2006,F,6,10,1176
2006,F,6,12,118
2006,F,6,13,195
2006,F,6,14,322
2006,F,6,15,1738
2006,F,6,16,815
2006,F,6,17,4
2006,F,6,20,457
2006,F,6,21,1625
2006,F,6,22,1639
2006,F,6,23,143
2006,F,6,24,1059
2006,F,6,25,10
2006,F,6,26,125
2006,F,6,27,381
2006,F,6,28,446
2006,F,6,29,30
2006,F,6,30,885
2006,F,6,31,327
2006,F,6,32,194
2006,F,6,33,2
2006,F,6,34,204
2006,F,6,36,592
2006,F,6,37,4897
2006,F,6,38,1925
2006,F,6,39,3281
2006,F,6,40,1530
2006,F,6,41,752
2006,F,6,42,517
2006,F,7,1,20
2006,F,7,2,1
2006,F,7,3,1114
2006,F,7,5,438
2006,F,7,6,2028
