ASSAY_ABBR	ASSAY_NAME	DATA_DOMAIN	NTP_STUDY_TYPE
AGRATIO	ALBUMIN_GLOBULIN_RATIO	CLINICAL_CHEMISTRY	
ALB	ALBUMIN	CLINICAL_CHEMISTRY	
ALP	ALKALINE_PHOSPHATASE	CLINICAL_CHEMISTRY	
ALT	ALANINE_AMINOTRANSFERASE	CLINICAL_CHEMISTRY	
AMYLASE	AMYLASE	CLINICAL_CHEMISTRY	
AST	ASPARTATE_AMINOTRANSFERASE	CLINICAL_CHEMISTRY	
BILDIR	BILIRUBIN_DIRECT	CLINICAL_CHEMISTRY	
BILE	BILE_ACIDS	CLINICAL_CHEMISTRY	
BILE_TISS	BILE_ACIDS_PER_G_TISSUE	CLINICAL_CHEMISTRY	
BILI	BILIRUBIN_TOTAL	CLINICAL_CHEMISTRY	
BUN	UREA_NITROGEN	CLINICAL_CHEMISTRY	
CA	CALCIUM	CLINICAL_CHEMISTRY	
CHOL	CHOLESTEROL	CLINICAL_CHEMISTRY	
CHOLINASE	CHOLINESTERASE	CLINICAL_CHEMISTRY	
CK	CREATINE_KINASE	CLINICAL_CHEMISTRY	
CL	CHLORIDE	CLINICAL_CHEMISTRY	
CO2	CARBON_DIOXIDE	CLINICAL_CHEMISTRY	
COPPER_TS	COPPER_PER_G_TISSUE	CLINICAL_CHEMISTRY	
CREAT	CREATININE	CLINICAL_CHEMISTRY	
CREATINE	CREATINE	CLINICAL_CHEMISTRY	
ERODTS	Ethoxyresorufin deethylase	CLINICAL_CHEMISTRY	
ESTRADIOL	ESTRADIOL	CLINICAL_CHEMISTRY	
FFA_LT	Free Fatty Acids per Liter	CLINICAL_CHEMISTRY	
FIBRINOGEN	FIBRINOGEN	CLINICAL_CHEMISTRY	
FIVE_P_ND	5_PRIME_NUCLEOTIDASE	CLINICAL_CHEMISTRY	
FSH	Follicle Stimulating Hormone	CLINICAL_CHEMISTRY	
GGT	GAMMA_GLUTAMYLTRANSFERASE	CLINICAL_CHEMISTRY	
GLOBUL	GLOBULIN	CLINICAL_CHEMISTRY	
GLUC	GLUCOSE	CLINICAL_CHEMISTRY	
GLUT_DASE	GLUTAMATE_DEHYDROGENASE	CLINICAL_CHEMISTRY	
GPT	Glutamic Pyruvic Transaminase	CLINICAL_CHEMISTRY	
GU	GU	CLINICAL_CHEMISTRY	
HDL	LIPOPROTEIN_HDL	CLINICAL_CHEMISTRY	
HYBUT	3_HYDROXYBUTYRATE	CLINICAL_CHEMISTRY	
ICD	Isocitrate Dehydrogenase	CLINICAL_CHEMISTRY	
IRON	IRON	CLINICAL_CHEMISTRY	
K	POTASSIUM	CLINICAL_CHEMISTRY	
LDH	LACTATE_DEHYDROGENASE	CLINICAL_CHEMISTRY	
LDL	LIPOPROTEIN_LDL	CLINICAL_CHEMISTRY	
LH	Luteinizing hormone	CLINICAL_CHEMISTRY	
LIP	LIPASE	CLINICAL_CHEMISTRY	
MG	MAGNESIUM	CLINICAL_CHEMISTRY	
NA	SODIUM	CLINICAL_CHEMISTRY	
NITRITE	NITRITE	CLINICAL_CHEMISTRY	
OGSHTS	GLUTATHIONE_OXIDIZED_PER G TISSUE	CLINICAL_CHEMISTRY	
PHOS	PHOSPHORUS	CLINICAL_CHEMISTRY	
PHOS	PHOSPHORUS_INORGANIC	CLINICAL_CHEMISTRY	
PROD	Pentoxyresorufin Dealkylase	CLINICAL_CHEMISTRY	
PROTEIN	PROTEIN_TOTAL	CLINICAL_CHEMISTRY	
RGSHTS	GLUTATHIONE_REDUCED_PER G TISSUE	CLINICAL_CHEMISTRY	
SDH	SORBITOL_DEHYDROGENASE	CLINICAL_CHEMISTRY	
SPL_QUAL	Sample Quality	CLINICAL_CHEMISTRY	
T3	TRIIODOTHYRONINE	CLINICAL_CHEMISTRY	
T4	THYROXINE	CLINICAL_CHEMISTRY	
T4_FREE	THYROXINE_FREE	CLINICAL_CHEMISTRY	
TESTOST	TESTOSTERONE	CLINICAL_CHEMISTRY	
TEST_TISS	TESTOSTERONE_PER_G_TISSUE	CLINICAL_CHEMISTRY	
TIBC	IRON_BINDING_CAPACITY_TOTAL	CLINICAL_CHEMISTRY	
TRIG	TRIGLYCERIDES	CLINICAL_CHEMISTRY	
TSH	THYROID_STIMULATING_HORMONE	CLINICAL_CHEMISTRY	
UIBC	IRON_UNBOUND_BINDING_CAPACITY	CLINICAL_CHEMISTRY	
URIC_AC	URIC_ACID	CLINICAL_CHEMISTRY	
VLDL	LIPOPROTEIN_VLDL	CLINICAL_CHEMISTRY	
